reviewText,sentiment
"Neither outstanding nor terrible, just normal.",1
"Nothing wrong with it, but nothing stands out.",1
I have mixed feelings about this product.,1
"The experience was neutral, not memorable.",1
"It works as expected, nothing more.",1
"The experience was neutral, not memorable.",1
"Nothing wrong with it, but nothing stands out.",1
"It does the job, but nothing impressive.",1
"The quality is acceptable, but not amazing.",1
"It's okay, nothing special.",1
"It works as expected, nothing more.",1
"It's okay, nothing special.",1
"It’s fine, I guess.",1
"It does the job, but nothing impressive.",1
I have mixed feelings about this product.,1
"It works as expected, nothing more.",1
"Neither outstanding nor terrible, just normal.",1
"Not much to say, it’s just standard.",1
"Neither good nor bad, just average.",1
"The experience was neutral, not memorable.",1
I was neither impressed nor disappointed.,1
"It's okay, nothing special.",1
"Not bad, not great, just in between.",1
"An average product, meets basic expectations.",1
"Nothing extraordinary, just fine.",1
"Neither good nor bad, just average.",1
"It serves its purpose, but that’s all.",1
"Not bad, not great, just in between.",1
"An average product, meets basic expectations.",1
I have mixed feelings about this product.,1
"The quality is acceptable, but not amazing.",1
"Nothing wrong with it, but nothing stands out.",1
"An average product, meets basic expectations.",1
"Nothing wrong with it, but nothing stands out.",1
"It’s fine, I guess.",1
"Nothing wrong with it, but nothing stands out.",1
"An average product, meets basic expectations.",1
I was neither impressed nor disappointed.,1
"It’s fine, I guess.",1
"It’s fine, I guess.",1
"Neither good nor bad, just average.",1
"It's okay, nothing special.",1
"Neither good nor bad, just average.",1
"It works as expected, nothing more.",1
"Neither good nor bad, just average.",1
"An average product, meets basic expectations.",1
"Nothing wrong with it, but nothing stands out.",1
"I don't love it, but I don't hate it either.",1
"It's okay, nothing special.",1
"It serves its purpose, but that’s all.",1
"Not much to say, it’s just standard.",1
"It works as expected, nothing more.",1
It’s neither a great buy nor a regret.,1
"Not much to say, it’s just standard.",1
"Neither outstanding nor terrible, just normal.",1
"It does the job, but nothing impressive.",1
"It does the job, but nothing impressive.",1
"The quality is acceptable, but not amazing.",1
"It does the job, but nothing impressive.",1
"Not much to say, it’s just standard.",1
"It works as expected, nothing more.",1
"Not much to say, it’s just standard.",1
"It works as expected, nothing more.",1
I have mixed feelings about this product.,1
"The quality is acceptable, but not amazing.",1
It’s neither a great buy nor a regret.,1
"Neither good nor bad, just average.",1
It’s neither a great buy nor a regret.,1
"Not bad, not great, just in between.",1
"Nothing extraordinary, just fine.",1
"It’s decent, but I wouldn’t rave about it.",1
"The quality is acceptable, but not amazing.",1
"Nothing extraordinary, just fine.",1
"Neither outstanding nor terrible, just normal.",1
"Nothing wrong with it, but nothing stands out.",1
"It does the job, but nothing impressive.",1
"An average product, meets basic expectations.",1
I was neither impressed nor disappointed.,1
"The quality is acceptable, but not amazing.",1
I have mixed feelings about this product.,1
"It's okay, nothing special.",1
"It works as expected, nothing more.",1
"Neither good nor bad, just average.",1
It’s neither a great buy nor a regret.,1
I was neither impressed nor disappointed.,1
"The experience was neutral, not memorable.",1
"Not much to say, it’s just standard.",1
"It does the job, but nothing impressive.",1
"Not bad, not great, just in between.",1
"It’s decent, but I wouldn’t rave about it.",1
"The quality is acceptable, but not amazing.",1
I was neither impressed nor disappointed.,1
"It’s decent, but I wouldn’t rave about it.",1
"Neither good nor bad, just average.",1
"An average product, meets basic expectations.",1
"Neither outstanding nor terrible, just normal.",1
I was neither impressed nor disappointed.,1
"Not much to say, it’s just standard.",1
"It does the job, but nothing impressive.",1
A middle-of-the-road experience.,1
I have mixed feelings about this product.,1
I have mixed feelings about this product.,1
I was neither impressed nor disappointed.,1
"Neither outstanding nor terrible, just normal.",1
"It does the job, but nothing impressive.",1
It’s neither a great buy nor a regret.,1
"The experience was neutral, not memorable.",1
"It's okay, nothing special.",1
"I don't love it, but I don't hate it either.",1
"It serves its purpose, but that’s all.",1
"It’s fine, I guess.",1
"The experience was neutral, not memorable.",1
"It’s fine, I guess.",1
"Neither outstanding nor terrible, just normal.",1
A middle-of-the-road experience.,1
"Neither outstanding nor terrible, just normal.",1
"Neither outstanding nor terrible, just normal.",1
"The experience was neutral, not memorable.",1
"Neither outstanding nor terrible, just normal.",1
"It's okay, nothing special.",1
"Nothing extraordinary, just fine.",1
"Nothing extraordinary, just fine.",1
"It serves its purpose, but that’s all.",1
"Neither outstanding nor terrible, just normal.",1
"It serves its purpose, but that’s all.",1
A middle-of-the-road experience.,1
"It’s fine, I guess.",1
I have mixed feelings about this product.,1
"It’s decent, but I wouldn’t rave about it.",1
"It serves its purpose, but that’s all.",1
"It's okay, nothing special.",1
"It's okay, nothing special.",1
"Nothing wrong with it, but nothing stands out.",1
"I don't love it, but I don't hate it either.",1
"Neither outstanding nor terrible, just normal.",1
"It does the job, but nothing impressive.",1
I was neither impressed nor disappointed.,1
It’s neither a great buy nor a regret.,1
"Not bad, not great, just in between.",1
A middle-of-the-road experience.,1
"It's okay, nothing special.",1
"The experience was neutral, not memorable.",1
"It’s fine, I guess.",1
"It’s decent, but I wouldn’t rave about it.",1
"Not bad, not great, just in between.",1
"The experience was neutral, not memorable.",1
I have mixed feelings about this product.,1
"Neither good nor bad, just average.",1
"The quality is acceptable, but not amazing.",1
"Neither good nor bad, just average.",1
"Not bad, not great, just in between.",1
I have mixed feelings about this product.,1
"It’s fine, I guess.",1
"Not much to say, it’s just standard.",1
"It's okay, nothing special.",1
I was neither impressed nor disappointed.,1
"The quality is acceptable, but not amazing.",1
"I don't love it, but I don't hate it either.",1
"I don't love it, but I don't hate it either.",1
"Neither good nor bad, just average.",1
"An average product, meets basic expectations.",1
"It serves its purpose, but that’s all.",1
"Neither good nor bad, just average.",1
A middle-of-the-road experience.,1
"The experience was neutral, not memorable.",1
"I don't love it, but I don't hate it either.",1
A middle-of-the-road experience.,1
"It’s decent, but I wouldn’t rave about it.",1
"Nothing wrong with it, but nothing stands out.",1
"Neither good nor bad, just average.",1
"Not bad, not great, just in between.",1
I was neither impressed nor disappointed.,1
"It serves its purpose, but that’s all.",1
It’s neither a great buy nor a regret.,1
"Neither good nor bad, just average.",1
"It’s fine, I guess.",1
"It works as expected, nothing more.",1
I have mixed feelings about this product.,1
"Nothing extraordinary, just fine.",1
"It serves its purpose, but that’s all.",1
"I don't love it, but I don't hate it either.",1
"It’s decent, but I wouldn’t rave about it.",1
"Not much to say, it’s just standard.",1
"The quality is acceptable, but not amazing.",1
"Not much to say, it’s just standard.",1
"The quality is acceptable, but not amazing.",1
"Nothing extraordinary, just fine.",1
"The experience was neutral, not memorable.",1
"Not bad, not great, just in between.",1
"It works as expected, nothing more.",1
I have mixed feelings about this product.,1
It’s neither a great buy nor a regret.,1
"Nothing extraordinary, just fine.",1
"It’s fine, I guess.",1
"Nothing wrong with it, but nothing stands out.",1
"I don't love it, but I don't hate it either.",1
It’s neither a great buy nor a regret.,1
"It works as expected, nothing more.",1
"I don't love it, but I don't hate it either.",1
"An average product, meets basic expectations.",1
"Neither good nor bad, just average.",1
"The quality is acceptable, but not amazing.",1
"It serves its purpose, but that’s all.",1
"It's okay, nothing special.",1
"Not much to say, it’s just standard.",1
"It serves its purpose, but that’s all.",1
"The experience was neutral, not memorable.",1
"It does the job, but nothing impressive.",1
"Neither good nor bad, just average.",1
"The quality is acceptable, but not amazing.",1
"Nothing extraordinary, just fine.",1
"Not much to say, it’s just standard.",1
"The quality is acceptable, but not amazing.",1
"It does the job, but nothing impressive.",1
It’s neither a great buy nor a regret.,1
"It does the job, but nothing impressive.",1
"It works as expected, nothing more.",1
"Nothing extraordinary, just fine.",1
It’s neither a great buy nor a regret.,1
"It works as expected, nothing more.",1
"An average product, meets basic expectations.",1
"It’s fine, I guess.",1
"An average product, meets basic expectations.",1
"Not bad, not great, just in between.",1
"Nothing extraordinary, just fine.",1
A middle-of-the-road experience.,1
A middle-of-the-road experience.,1
I have mixed feelings about this product.,1
"Nothing extraordinary, just fine.",1
"The quality is acceptable, but not amazing.",1
"It works as expected, nothing more.",1
A middle-of-the-road experience.,1
"Neither good nor bad, just average.",1
"Neither good nor bad, just average.",1
"I don't love it, but I don't hate it either.",1
I was neither impressed nor disappointed.,1
"The experience was neutral, not memorable.",1
"Not bad, not great, just in between.",1
"It does the job, but nothing impressive.",1
